sid,qid,exec_time,memory,score
2250818,6671,0.0,0.0,0
2250818,7213,0.0,0.0,0
2250819,4514,0.0,0.0,0
2250819,4731,0.0,0.0,0
2250819,4637,0.0,0.0,0
2250819,4729,0.0,0.0,0
2250820,4627,0.0,0.0,0
2250820,6545,0.0,0.0,0
2250820,7014,0.0,0.0,1
2250820,7214,0.0,0.0,0
2250821,3982,0.0,0.0,0
2250821,7016,0.0,0.0,1
2250821,7212,0.0,0.0,0
2250822,4729,0.0,0.0,0
2250822,7827,0.0,0.0,0
2250822,3786,0.0,0.0,0
2250822,3983,0.0,0.0,0
2250822,7869,0.0,0.0,0
2250823,85405,0.0,0.0,0
2250823,3982,0.0,0.0,0
2250823,6546,0.0,0.0,0
2250823,6669,0.0,0.0,1
2250824,7014,0.0,0.0,1
2250824,4487,0.0,0.0,1
2250824,7015,0.0,0.0,0
2250824,7016,0.0,0.0,0
2250824,4511,0.0,0.0,1
2250825,6671,0.0,0.0,0
2250825,6686,0.0,0.0,0
2250825,4627,0.0,0.0,1
2250825,6885,0.0,0.0,0
2250825,3980,0.0,0.0,0
2250825,50068,0.02,327.66,1
2250825,4679,0.03,29.02,1
2250826,7213,0.0,0.0,0
2250826,7824,0.0,0.0,0
2250826,4259,0.0,0.0,0
2250826,4487,0.0,0.0,0
2250827,85407,0.0,0.0,1
2250827,6686,0.0,0.0,0
2250827,7824,0.0,0.0,0
2250827,7867,0.0,0.0,0
2250827,6882,0.0,0.0,0
2250828,6543,0.0,0.0,0
2250828,6544,0.0,0.0,0
2250828,7866,0.0,0.0,1
2250828,4730,0.0,0.0,0
2250829,4671,0.04,50.07,1
2250829,6543,0.0,0.0,1
2250829,85404,0.0,0.0,1
2250829,3983,0.0,0.0,0
2250829,7213,0.0,0.0,0
2250829,7866,0.0,0.0,0
2250829,4511,0.0,0.0,1
2250830,7871,0.0,0.0,0
2250830,4731,0.0,0.0,0
2250830,4639,0.0,0.0,0
2250830,4666,0.08,50.37,1
2250830,7014,0.0,0.0,1
2250831,7826,0.0,0.0,0
2250831,3786,0.0,0.0,0
2250831,7824,0.0,0.0,0
2250831,7865,0.0,0.0,0
2250832,85405,0.0,0.0,1
2250832,4627,0.0,0.0,0
2250832,6671,0.0,0.0,0
2250832,7871,0.0,0.0,1
2250832,85406,0.0,0.0,1
2250832,7213,0.0,0.0,1
2250833,3980,0.0,0.0,0
2250833,4731,0.0,0.0,0
2250833,50071,0.03,175.34,0
2250833,7869,0.0,0.0,0
2250833,4512,0.0,0.0,1
2250834,3981,0.0,0.0,0
2250834,6885,0.0,0.0,1
2250834,7869,0.0,0.0,1
2250835,4731,0.0,0.0,0
2250835,6686,0.0,0.0,0
2250835,85404,0.0,0.0,1
2250835,7865,0.0,0.0,0
2250835,7826,0.0,0.0,0
2250837,4511,0.0,0.0,1
2250837,7824,0.0,0.0,0
2250837,85407,0.0,0.0,1
2250837,50071,0.02,162.96,1
2250837,4259,0.0,0.0,0
2250837,4514,0.0,0.0,0
2250837,4666,0.07,74.94,1
2250838,4256,0.07,262.75,0
2250838,7212,0.0,0.0,0
2250838,6545,0.0,0.0,0
2250838,6887,0.0,0.0,0
2250839,6669,0.0,0.0,0
2250839,7825,0.0,0.0,1
2250839,85404,0.0,0.0,1
2250839,4488,0.0,0.0,0
2250839,4514,0.0,0.0,0
2250839,7016,0.0,0.0,1
2250840,3982,0.0,0.0,0
2250840,3980,0.0,0.0,0
2250840,4730,0.0,0.0,0
2250840,6545,0.0,0.0,1
2250841,7015,0.0,0.0,1
2250841,4637,0.0,0.0,0
2250841,4731,0.0,0.0,0
2250841,6671,0.0,0.0,0
2250841,4639,0.0,0.0,0
409691,3981,0.0,0.0,0
409691,7212,0.0,0.0,0
409691,7015,0.0,0.0,0
409691,3775,0.0,0.0,0
409691,6670,0.0,0.0,0
2250843,4488,0.0,0.0,0
2250843,7825,0.0,0.0,0
2250843,6543,0.0,0.0,0
2250843,50574,0.03,103.04,0
2250843,7871,0.0,0.0,0
2250843,50575,0.01,317.24,1
2250843,6545,0.0,0.0,1
2250844,6671,0.0,0.0,0
2250844,85407,0.0,0.0,1
2250844,85405,0.0,0.0,0
2250844,4257,0.03,163.65,0
2250844,4490,0.0,0.0,0
2250845,7214,0.0,0.0,0
2250845,3981,0.0,0.0,0
2250845,4627,0.0,0.0,0
2250845,6686,0.0,0.0,0
2250846,7014,0.0,0.0,0
2250846,85405,0.0,0.0,0
2250846,7824,0.0,0.0,0
2250846,7869,0.0,0.0,1
2250846,3983,0.0,0.0,0
